dataset,N,train_vram_pct,train_time,latency,tpot
financial_phrasebank,16,15.2700,26.3786,38.8106,9.5485
financial_phrasebank,32,15.3399,25.8349,45.5130,9.4162
financial_phrasebank,64,15.3370,26.4370,41.2289,7.6363
financial_phrasebank,128,15.4085,25.4772,40.2985,7.0848
financial_phrasebank,256,15.5151,25.7238,43.9318,7.5027
gsm8k,16,53.7154,67.1835,1525.3818,9.9056
gsm8k,32,53.6889,56.7021,1510.6278,8.6778
gsm8k,64,53.6875,53.1158,1496.6360,8.7429
gsm8k,128,53.6803,51.6014,1518.2892,9.0076
gsm8k,256,53.6739,51.2619,1531.8079,7.7475
raft,16,14.4396,24.7725,73.3807,11.5827
raft,32,14.4301,24.3787,61.3449,9.8851
raft,64,15.0100,24.7362,66.4266,9.1279
raft,128,15.0107,24.2840,62.9789,8.7786
raft,256,15.0099,24.1080,63.1376,8.8241
superglue_boolq,16,42.8774,52.1793,39.1487,15.5295
superglue_boolq,32,42.8471,47.3764,44.4818,11.4202
superglue_boolq,64,42.8686,45.4242,42.9201,12.6634
superglue_boolq,128,43.1600,45.5695,46.6046,11.4713
superglue_boolq,256,45.9253,47.0840,47.1268,12.5176
superglue_rte,16,29.8322,36.8111,44.4099,6.6231
superglue_rte,32,29.8270,35.0013,43.5053,6.6865
superglue_rte,64,30.6791,36.0773,47.7679,7.3196
superglue_rte,128,37.2173,38.1714,48.1749,7.5872
superglue_rte,256,37.2183,36.6536,44.6785,7.1398
